Date,Open,High,Low,Close,Volume
1/4/2000,289.5,289.5,280,283.7,21621
1/5/2000,283.7,285,281,282.1,25448
1/6/2000,281.6,282.8,280.2,282.4,19055
1/7/2000,282.5,284.5,282,282.9,11266
1/10/2000,282.4,283.9,281.8,282.7,30603
1/11/2000,282.4,285.3,281.9,284.4,13500
1/12/2000,284.5,285,282.5,283.7,17841
1/13/2000,283.5,285.9,282.9,285.1,12171
1/14/2000,285.2,285.6,284,284.9,32339
1/18/2000,286.1,289.8,285.9,289.6,28615
1/19/2000,289.6,291,287.5,290.3,24097
1/20/2000,290.3,290.7,288.4,289.3,20707
1/21/2000,289,290.3,287.4,289.7,25726
1/24/2000,289.7,289.7,286.3,288.1,32140
1/25/2000,288,291.8,286.6,286.6,36122
1/26/2000,286.8,287.5,284.7,286.5,19633
1/27/2000,286.2,287.5,285.6,287.1,14493
1/28/2000,289.6,290.7,283,286,15193
1/31/2000,286,287.4,284.9,286.2,13450
2/1/2000,286,286.5,285,285.4,18559
2/2/2000,285.4,289.2,285.3,287.7,21679
2/3/2000,287.7,290.9,287,289.9,111565
2/4/2000,290.2,318.5,289.9,313,81002
2/7/2000,318,326.9,302,304.5,41222
2/8/2000,306,308,298.5,301.7,43956
2/9/2000,301.7,314,301.7,308.6,68353
2/10/2000,308.5,319,308.5,318.7,33896
2/11/2000,318.3,320.4,311,313.6,26794
2/14/2000,313.6,313.6,308.3,311,29195
2/15/2000,310.7,311.5,303.8,304.1,26789
2/16/2000,304.2,306,299.7,305,56335
2/17/2000,305.3,312.5,300,303.8,11809
2/18/2000,303.3,307.8,302,307.3,19378
2/22/2000,307.6,309.4,304.2,307.7,25886
2/23/2000,307.7,308.2,302.3,302.4,28337
2/24/2000,302.4,303.5,300.2,300.9,50881
2/25/2000,300.9,301.2,293.5,294.6,12399
2/28/2000,294.5,295.4,293.1,294.2,19656
2/29/2000,293.8,296.5,293.5,294.2,14909
3/1/2000,294.2,296.2,292.8,293.3,28152
3/2/2000,292.9,293.3,289.4,289.7,14362
3/3/2000,289.7,292.2,289.2,290.3,11764
3/6/2000,290.6,291.7,289.2,289.4,29350
3/7/2000,289.5,295.4,289.4,293.7,23098
3/8/2000,293.8,295,289.8,290.4,20155
3/9/2000,290,293,289.6,292.7,33677
3/10/2000,292.7,294,289.4,290,15867
3/13/2000,290,292.9,290,291.5,14104
3/14/2000,291.7,292.6,289.2,289.7,10300
3/15/2000,289.6,291,289.3,289.6,39830
3/16/2000,289.9,290.4,286.3,287,22018
3/17/2000,286.8,287,283.6,285,17900
3/20/2000,285,286.9,284.5,286.5,42694
3/21/2000,286.5,292,284.2,290.4,13804
3/22/2000,290.4,291.1,288.1,288.3,36661
3/23/2000,288.4,288.6,283.8,285.4,12053
3/24/2000,285.6,286.1,284.6,285.1,51450
3/27/2000,285.4,285.4,280.2,280.5,22148
3/28/2000,280.8,281.8,279.4,279.5,17775
3/29/2000,279.5,280.2,274.8,275.9,12107
3/30/2000,279,280.2,277.9,279.1,29784
3/31/2000,279.6,283,277.5,281.4,31833
4/3/2000,281.5,282,279.7,280.4,12345
4/4/2000,280.7,291.5,278.4,286.6,44068
4/5/2000,286.7,287.1,283.2,283.8,21139
4/6/2000,283.8,284.3,281.3,282.7,13216
4/7/2000,283,283.6,281.9,282.5,7865
4/10/2000,281.8,285,281.5,284,6784
4/11/2000,284.3,286,283.1,283.7,17914
4/12/2000,283.5,285.7,281.5,283.5,19820
4/13/2000,283.5,284.8,282,283.2,11969
4/14/2000,283.4,288.5,282.5,284.6,30672
4/17/2000,285.1,287.5,282.8,284.2,17842
4/18/2000,284,284.8,282.4,283,15410
4/19/2000,283,283.9,282,282.5,11574
4/20/2000,282.4,283,280.5,281.5,13093
4/24/2000,281.5,282.9,280.9,281.2,7764
4/25/2000,281,282,279.5,279.8,13617
4/26/2000,280,280.1,276.4,277.1,27418
4/27/2000,277.3,279.1,276.8,278.4,15077
4/28/2000,278.2,279,274,274.7,25399
5/1/2000,274.8,276.1,273.6,274.8,16303
5/2/2000,275.1,277.9,274.7,277,16038
5/3/2000,277.2,279.4,276.6,279.1,22230
5/4/2000,280,284,278.1,281.2,34630
5/5/2000,282,283.8,278.5,280.1,30215
5/8/2000,279.8,279.8,277.3,277.6,15420
5/9/2000,278,278.9,276.7,278.2,18476
5/10/2000,278.4,280,277.9,278.7,14291
5/11/2000,278.7,279.3,276.1,276.5,23254
5/12/2000,276.8,277.9,276.5,276.9,10326
5/15/2000,277.2,277.8,274.8,276.4,19334
5/16/2000,276.8,278,275.7,276.2,15838
5/17/2000,276.1,276.2,272.7,273.8,18760
5/18/2000,273.8,274.8,272.1,273.7,18760
5/19/2000,274.4,274.9,273.3,274.6,20592
5/22/2000,274.3,277.5,274,276.2,30181
5/23/2000,276.2,277.2,273.8,274.7,23831
5/24/2000,275,275,273.2,273.8,15927
5/25/2000,273.8,275,269.5,270.7,56143
5/26/2000,270.7,273.3,270.1,272.2,30192
5/30/2000,275.1,277.2,275,275.5,11812
5/31/2000,275.6,275.9,274.5,274.8,12632
6/1/2000,275.4,276.4,274.8,275.4,65969
6/2/2000,275.5,285.9,275.3,284.2,33366
